20230513,0,0,0,0
20230514,0,0,0,0
20230515,6,0,0,0
20230516,1,0,0,0
20230517,1,0,0,0
20230518,0,0,0,0
20230519,4,0,0,0
20230520,3,0,0,0
20230521,0,0,0,0
20230522,0,0,0,0
20230523,1,0,0,0
20230524,0,0,0,0
20230525,0,0,0,0
20230526,0,0,0,0
20230527,0,0,0,0
20230528,0,0,0,0
20230529,0,0,0,0
20230530,0,0,0,0
20230531,0,0,0,0
20230601,0,0,0,0
20230602,1,0,0,0
20230603,0,0,0,0
20230604,0,0,0,0
20230605,0,0,0,0
20230606,0,0,0,0
20230607,1,0,0,0
20230608,0,0,0,0
20230609,0,0,0,0
20230610,0,0,0,0
20230611,0,0,0,0
20230612,0,0,0,0
