https://link.coupang.com/a/KTLW6,쇠고기집 1등급 명품 소고기 선물세트,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0e89/709623a0307e3bea735809fcd9599b89994fe6d26589bcc4fba81d508e04.JPG,41%,170000,99900,none
https://link.coupang.com/a/KTMgY,[모든옵션1+1] 6년근 홍삼액 고려 홍삼 진액 100% 농축액 액기스 파우치 선물 세트 설 명절,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1632/b66c5b946f77475a6438b5d282e3ae504f9edf8081d73f0d5b764de37e81.png,37%,100000,62240,none
https://link.coupang.com/a/KTMoy,23년 설 선물세트 엘지생활건강 까치와 호랑이 M호,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0f87/e070f0a2dd6dc1ec01f34b937a0ad2f931f974d364e5d0454d26a3a1dfae.jpg,26%,14500,10650,none
https://link.coupang.com/a/KTMuA,대천김 명품 캔김 선물세트 S704 120g,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1837206619363752-959a6c47-ed2f-4199-8401-f11bd06e821b.jpg,none,none,139800,http://image10.coupangcdn.com/image/badges/rocket/rocket_logo.png
https://link.coupang.com/a/KTMy1,미소하누 1++ 한우 상위 1% 3차 선별 프리미엄 선물세트 6종,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/555c/b08301f6046f6ec2e0f94608512831e9149f7acbeed410ddc5a273456345.jpg,42%,431600,249600,none
https://link.coupang.com/a/KTMHk,명품본가 프리미엄 수제 한우 떡갈비 선물 세트 떡갈비스테이크 고급 한지 포장 백화점 입점 명절 추석 한가위 설날 고기 선물세트 선물용,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/39e0/a6d34cfe9c50ae1ab86a1f09e673d190876d9c2d38edd8ddf99181740b45.jpg,36%,69000,45800,none
https://link.coupang.com/a/KTMNh,프로바이오틱스 유산균 꿀홍삼 명절선물세트 명절선물 설날선물세트 부모님선물 설선물세트,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f6fd/e06deedb5f2b3ffdcf1b6108c24e2676388c615ba2990715f81f51971868.jpg,44%,135000,75000,none
https://link.coupang.com/a/KTMTc,항공직송 프리미엄 고당도 애플망고 선물세트,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b07d/49a5c4a99969bb1a800608d0430458e854197450ea2a05d9f8385561ce38.png,63%,80000,35500,none
https://link.coupang.com/a/KTMZm,농협 백년부부 명품 침향환 침향단 (침향 22%)+쇼핑백 부모님 명절 새해 설 추석 선물세트,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1ddc/5feedbdef820aba9646c0d905a22eb0bdf969420fd447c7db1505156875a.jpg,55%,200000,89900,http://image10.coupangcdn.com/image/badges/rocket/rocket_logo.png
https://link.coupang.com/a/KTM4T,싱싱창고 곶감 완주 대둔산 프리미엄 반건시 흑곶감 6종 명절 설날 선물 세트,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b604/834ba4515b7b6867ffaa4d049452374b4f2e7287ca6643db0d5478bfad0c.jpg,5%,45500,43000,none
